Protein,Sensitivity,Specificity

HpCD00780223,0.5,1.0

HpCD00780231,0.5,1.0

HpCD00780239,0.5,1.0

HpCD00780319,0.5,0.9966666666666667

HpCD00780327,0.5,1.0

HpCD00780335,0.5,1.0

HpCD00780224,0.5,1.0

HpCD00780232,0.5166666666666667,0.9866666666666667

HpCD00780240,0.5,1.0

HpCD00780320,0.5,1.0

HpCD00780328,0.5033333333333333,1.0

HpCD00780336,0.5066666666666667,1.0

HpCD00780225,0.5,0.9966666666666667

HpCD00780233,0.5,1.0

HpCD00780241,0.5,1.0

HpCD00780321,0.5,1.0

HpCD00780329,0.5,1.0

HpCD00780337,0.5,1.0

HpCD00780226,0.5,0.9966666666666667

HpCD00780234,0.5,1.0

HpCD00780242,0.5,1.0

HpCD00780322,0.5,0.99

HpCD00780330,0.5,0.9966666666666667

HpCD00780338,0.5033333333333333,0.9966666666666667

HpCD00780227,0.5,1.0

HpCD00780235,0.5,1.0

HpCD00780243,0.5033333333333333,1.0

HpCD00780323,0.5033333333333333,0.9966666666666667

HpCD00780331,0.5,1.0

HpCD00780339,0.5033333333333333,1.0

HpCD00780228,0.5,1.0

HpCD00780236,0.5,0.9933333333333333

HpCD00780244,0.5,1.0

HpCD00780324,0.5066666666666667,0.9933333333333333

HpCD00780332,0.51,0.9933333333333333

HpCD00780340,0.5066666666666667,1.0

HpCD00780229,0.5,1.0

HpCD00780237,0.5,1.0

HpCD00780245,0.5,1.0

HpCD00780325,0.5,1.0

HpCD00780333,0.5133333333333333,0.9966666666666667

HpCD00780341,0.5,0.99

HpCD00780230,0.5,1.0

HpCD00780238,0.5,1.0

HpCD00780246,0.5,1.0

HpCD00780326,0.51,0.9933333333333333

HpCD00780334,0.5,0.9966666666666667

HpCD00780342,0.5,1.0

HpCD00780247,0.5,0.9966666666666667

HpCD00780255,0.5,1.0

HpCD00780263,0.5,1.0

HpCD00780343,0.5,1.0

HpCD00780351,0.5,1.0

HpCD00780359,0.5,1.0

HpCD00780248,0.5,0.99

HpCD00780256,0.5,1.0

HpCD00780264,0.5,1.0

HpCD00780344,0.5,0.9933333333333333

HpCD00780352,0.5066666666666667,0.9766666666666667

HpCD00780360,0.5,0.9866666666666667

HpCD00780249,0.5033333333333333,1.0

HpCD00780257,0.5,1.0

HpCD00780265,0.5,1.0

HpCD00780345,0.5,1.0

HpCD00780353,0.5,1.0

HpCD00780361,0.5,1.0

HpCD00780250,0.5,1.0

HpCD00780258,0.5066666666666667,0.9833333333333333

HpCD00780266,0.5,1.0

HpCD00780346,0.5,0.9866666666666667

HpCD00780354,0.5,0.99

HpCD00780362,0.5,0.9933333333333333

HpCD00780251,0.5,1.0

HpCD00780259,0.5,1.0

HpCD00780267,0.5033333333333333,1.0

HpCD00780347,0.5,1.0

HpCD00780355,0.5033333333333333,0.9966666666666667

HpCD00780363,0.5,1.0

HpCD00780252,0.5066666666666667,0.9966666666666667

HpCD00780260,0.5,1.0

HpCD00780268,0.5,1.0

HpCD00780348,0.5,0.9966666666666667

HpCD00780356,0.5066666666666667,0.9866666666666667

HpCD00780364,0.5033333333333333,1.0

HpCD00780253,0.5,0.9966666666666667

HpCD00780261,0.5,1.0

HpCD00780269,0.5,1.0

HpCD00780349,0.5,1.0
