Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.5, ,1,0.5666666666666667,0.5666666666666667,0.5666666666666667, ,0.3,0.6923076923076923,0.8666666666666667, ,0.5333333333333333,0.7272727272727273,0.8, ,0.3333333333333333,0.6666666666666666,0.8333333333333334, ,0.4,0.7058823529411765,0.8333333333333334
Average:            , , ,0.5666666666666667,0.5666666666666667,0.5666666666666667, ,0.3,0.6923076923076923,0.8666666666666667, ,0.5333333333333333,0.7272727272727273,0.8, ,0.3333333333333333,0.6666666666666666,0.8333333333333334, ,0.4,0.7058823529411765,0.8333333333333334
Standard Deviation: , , ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.6, ,1,0.2,0.42857142857142855,0.7333333333333333, ,0.2,0.75,0.9333333333333333, ,0.3333333333333333,0.5263157894736842,0.7, ,0.2,0.6,0.8666666666666667, ,0.3333333333333333,0.5263157894736842,0.7
Average:            , , ,0.2,0.42857142857142855,0.7333333333333333, ,0.2,0.75,0.9333333333333333, ,0.3333333333333333,0.5263157894736842,0.7, ,0.2,0.6,0.8666666666666667, ,0.3333333333333333,0.5263157894736842,0.7
Standard Deviation: , , ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.8, ,1,0.43333333333333335,0.65,0.7666666666666667, ,0.13333333333333333,0.5,0.8666666666666667, ,0.3,0.45,0.6333333333333333, ,0.16666666666666666,0.45454545454545453,0.8, ,0.3333333333333333,0.45454545454545453,0.6
Average:            , , ,0.43333333333333335,0.65,0.7666666666666667, ,0.13333333333333333,0.5,0.8666666666666667, ,0.3,0.45,0.6333333333333333, ,0.16666666666666666,0.45454545454545453,0.8, ,0.3333333333333333,0.45454545454545453,0.6
Standard Deviation: , , ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.9, ,1,0.3333333333333333,0.43478260869565216,0.5666666666666667, ,0.1,0.75,0.9666666666666667, ,0.23333333333333334,0.6363636363636364,0.8666666666666667, ,0.23333333333333334,0.4375,0.7, ,0.23333333333333334,0.6363636363636364,0.8666666666666667
Average:            , , ,0.3333333333333333,0.43478260869565216,0.5666666666666667, ,0.1,0.75,0.9666666666666667, ,0.23333333333333334,0.6363636363636364,0.8666666666666667, ,0.23333333333333334,0.4375,0.7, ,0.23333333333333334,0.6363636363636364,0.8666666666666667
Standard Deviation: , , ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0, ,0.0,0.0,0.0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
