 , ,Baseline,                   , ,Conjunctive,                   , ,Disjunctive,                   
 , ,P'       ,Relative Likelihood, ,P'        ,Relative Likelihood, ,P'        ,Relative Likelihood
P_TP_M_, ,0.4574468085106383,1.016548463356974, ,n/a,n/a, ,0.16489361702127658,1.1778115501519755
P_TP_IgA, ,0.46,1.0222222222222221, ,0.4666666666666667,1.037037037037037, ,n/a,n/a
P_TP_F_, ,n/a,n/a, ,0.4642857142857143,1.0317460317460319, ,n/a,n/a
P_TP_40_49, ,0.45161290322580644,1.003584229390681, ,0.46774193548387094,1.0394265232974909, ,0.14516129032258066,1.0368663594470047
P_TP_30_39, ,0.75,1.6666666666666665, ,0.625,1.3888888888888888, ,0.375,2.6785714285714284
P_TP_18_29, ,0.5,1.1111111111111112, ,0.5,1.1111111111111112, ,0.25,1.7857142857142856
 , , , , , , , , , 
P_TN_IgA, ,0.4666666666666667,1.0218978102189782, ,0.4533333333333333,1.3203883495145632, ,0.5,1.0067114093959733
P_TN_F_, ,0.4732142857142857,1.0362356621480708, ,0.3482142857142857,1.0142163661581136, ,0.5,1.0067114093959733
P_TN_65_80, ,0.4583333333333333,1.0036496350364963, ,0.40625,1.183252427184466, ,0.5,1.0067114093959733
P_TN_50_64, ,0.4649122807017544,1.0180560891279293, ,n/a,n/a, ,0.5263157894736842,1.0596962204168139
P_TN_40_49, ,0.4838709677419355,1.0595714622086179, ,n/a,n/a, ,n/a,n/a
P_TN_18_29, ,n/a,n/a, ,n/a,n/a, ,0.5,1.0067114093959733
 , , , , , , , , , 
P_FP_M_, ,0.05319148936170213,1.227495908346972, ,0.1595744680851064,1.0185604345857855, ,0.005319148936170213,1.5957446808510636
P_FP_IgG, ,0.05333333333333334,1.2307692307692308, ,0.26666666666666666,1.7021276595744679, ,0.006666666666666667,2.0
P_FP_81_, ,0.0625,1.4423076923076923, ,0.1875,1.1968085106382977, ,0.0625,18.75
P_FP_50_64, ,0.06140350877192982,1.4170040485829958, ,0.18421052631578946,1.1758118701007838, ,n/a,n/a
P_FP_40_49, ,n/a,n/a, ,0.1774193548387097,1.1324639670555936, ,n/a,n/a
P_FP_30_39, ,n/a,n/a, ,0.25,1.5957446808510638, ,n/a,n/a
P_FP_18_29, ,0.25,5.769230769230769, ,0.25,1.5957446808510638, ,n/a,n/a
 , , , , , , , , , 
P_FN_M_, ,n/a,n/a, ,0.05851063829787234,1.1702127659574468, ,n/a,n/a
P_FN_IgG, ,0.06,1.2, ,0.06666666666666667,1.3333333333333333, ,n/a,n/a
P_FN_F_, ,0.0625,1.25, ,n/a,n/a, ,0.4017857142857143,1.1160714285714286
P_FN_81_, ,0.0625,1.25, ,0.0625,1.25, ,0.4375,1.215277777777778
P_FN_65_80, ,0.052083333333333336,1.0416666666666667, ,0.0625,1.25, ,0.3645833333333333,1.0127314814814814
P_FN_40_49, ,0.06451612903225806,1.2903225806451613, ,n/a,n/a, ,0.3709677419354839,1.0304659498207887
P_FN_30_39, ,n/a,n/a, ,0.125,2.5, ,0.375,1.0416666666666667
