 , ,Baseline ,       ,                   , ,Conjunctive,       ,                   , ,Disjunctive,       ,                   
 , ,Probability,Support,Relative Likelihood, ,Probability,Support,Relative Likelihood, ,Probability,Support,Relative Likelihood
P_TP_IgG, ,0.44,150,0.88, ,0.43333333333333335,150,0.8666666666666667, ,0.14,150,0.28
P_FP_IgG, ,0.05333333333333334,150,0.10666666666666667, ,0.26666666666666666,150,0.5333333333333333, ,0.006666666666666667,150,0.013333333333333334
P_TN_IgG, ,0.44666666666666666,150,0.8933333333333333, ,0.23333333333333334,150,0.4666666666666667, ,0.49333333333333335,150,0.9866666666666667
P_FN_IgG, ,0.06,150,0.12, ,0.06666666666666667,150,0.13333333333333333, ,0.36,150,0.72
 , , , , , , , , , , , , 
P_TP_IgA, ,0.46,150,0.92, ,0.4666666666666667,150,0.9333333333333333, ,0.14,150,0.28
P_FP_IgA, ,0.03333333333333333,150,0.06666666666666667, ,0.04666666666666667,150,0.09333333333333334, ,0.0,150,0.0
P_TN_IgA, ,0.4666666666666667,150,0.9333333333333333, ,0.4533333333333333,150,0.9066666666666666, ,0.5,150,1.0
P_FN_IgA, ,0.04,150,0.08, ,0.03333333333333333,150,0.06666666666666667, ,0.36,150,0.72
-, ,-,-,-, ,-,-,-, ,-,-,-
P_TP_18_29, ,0.5,4,1.0, ,0.5,4,1.0, ,0.25,4,0.5
P_FP_18_29, ,0.25,4,0.5, ,0.25,4,0.5, ,0.0,4,0.0
P_TN_18_29, ,0.25,4,0.5, ,0.25,4,0.5, ,0.5,4,1.0
P_FN_18_29, ,0.0,4,0.0, ,0.0,4,0.0, ,0.25,4,0.5
 , , , , , , , , , , , , 
P_TP_30_39, ,0.75,8,1.0, ,0.625,8,0.8333333333333334, ,0.375,8,0.5
P_FP_30_39, ,0.0,8,0.0, ,0.25,8,1.0, ,0.0,8,0.0
P_TN_30_39, ,0.25,8,1.0, ,0.0,8,0.0, ,0.25,8,1.0
P_FN_30_39, ,0.0,8,0.0, ,0.125,8,0.16666666666666666, ,0.375,8,0.5
 , , , , , , , , , , , , 
P_TP_40_49, ,0.45161290322580644,62,0.875, ,0.46774193548387094,62,0.90625, ,0.14516129032258066,62,0.28125
P_FP_40_49, ,0.0,62,0.0, ,0.1774193548387097,62,0.3666666666666667, ,0.0,62,0.0
P_TN_40_49, ,0.4838709677419355,62,1.0, ,0.3064516129032258,62,0.6333333333333333, ,0.4838709677419355,62,1.0
P_FN_40_49, ,0.06451612903225806,62,0.125, ,0.04838709677419355,62,0.09375, ,0.3709677419354839,62,0.71875
 , , , , , , , , , , , , 
P_TP_50_64, ,0.4298245614035088,114,0.9074074074074074, ,0.43859649122807015,114,0.9259259259259259, ,0.13157894736842105,114,0.2777777777777778
P_FP_50_64, ,0.06140350877192982,114,0.11666666666666664, ,0.18421052631578946,114,0.3499999999999999, ,0.0,114,0.0
P_TN_50_64, ,0.4649122807017544,114,0.8833333333333332, ,0.34210526315789475,114,0.6499999999999999, ,0.5263157894736842,114,0.9999999999999998
P_FN_50_64, ,0.043859649122807015,114,0.09259259259259259, ,0.03508771929824561,114,0.07407407407407407, ,0.34210526315789475,114,0.7222222222222223
 , , , , , , , , , , , , 
P_TP_65_80, ,0.4479166666666667,96,0.8958333333333334, ,0.4375,96,0.875, ,0.13541666666666666,96,0.2708333333333333
P_FP_65_80, ,0.041666666666666664,96,0.08333333333333333, ,0.09375,96,0.1875, ,0.0,96,0.0
P_TN_65_80, ,0.4583333333333333,96,0.9166666666666666, ,0.40625,96,0.8125, ,0.5,96,1.0
P_FN_65_80, ,0.052083333333333336,96,0.10416666666666667, ,0.0625,96,0.125, ,0.3645833333333333,96,0.7291666666666666
 , , , , , , , , , , , , 
P_TP_81_, ,0.4375,16,0.875, ,0.4375,16,0.875, ,0.0625,16,0.125
P_FP_81_, ,0.0625,16,0.125, ,0.1875,16,0.375, ,0.0625,16,0.125
P_TN_81_, ,0.4375,16,0.875, ,0.3125,16,0.625, ,0.4375,16,0.875
P_FN_81_, ,0.0625,16,0.125, ,0.0625,16,0.125, ,0.4375,16,0.875
-, ,-,-,-, ,-,-,-, ,-,-,-
P_TP_M_, ,0.4574468085106383,188,0.9148936170212766, ,0.44148936170212766,188,0.8829787234042553, ,0.16489361702127658,188,0.32978723404255317
P_FP_M_, ,0.05319148936170213,188,0.10638297872340426, ,0.1595744680851064,188,0.3191489361702128, ,0.005319148936170213,188,0.010638297872340425
P_TN_M_, ,0.44680851063829785,188,0.8936170212765957, ,0.3404255319148936,188,0.6808510638297872, ,0.4946808510638298,188,0.9893617021276596
P_FN_M_, ,0.0425531914893617,188,0.0851063829787234, ,0.05851063829787234,188,0.11702127659574468, ,0.3351063829787234,188,0.6702127659574468
 , , , , , , , , , , , , 
P_TP_F_, ,0.4375,112,0.875, ,0.4642857142857143,112,0.9285714285714286, ,0.09821428571428571,112,0.19642857142857142
P_FP_F_, ,0.026785714285714284,112,0.05357142857142857, ,0.15178571428571427,112,0.30357142857142855, ,0.0,112,0.0
P_TN_F_, ,0.4732142857142857,112,0.9464285714285714, ,0.3482142857142857,112,0.6964285714285714, ,0.5,112,1.0
P_FN_F_, ,0.0625,112,0.125, ,0.03571428571428571,112,0.07142857142857142, ,0.4017857142857143,112,0.8035714285714286
