Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.5, ,1,0.44,0.5238095238095238,0.7142857142857143, ,0.36,0.5625,0.8, ,0.6,0.5555555555555556,0.6571428571428571, ,0.36,0.5625,0.8, ,0.56,0.56,0.6857142857142857
1.5, ,2,0.4666666666666667,0.5384615384615384,0.6, ,0.5,0.6,0.6666666666666666, ,0.6333333333333333,0.6129032258064516,0.6, ,0.4666666666666667,0.6363636363636364,0.7333333333333333, ,0.5,0.6,0.6666666666666666
1.5, ,3,0.43333333333333335,0.6842105263157895,0.8, ,0.16666666666666666,0.5,0.8333333333333334, ,0.13333333333333333,0.4444444444444444,0.8333333333333334, ,0.43333333333333335,0.5,0.5666666666666667, ,0.16666666666666666,0.45454545454545453,0.8
1.5, ,4,0.4375,0.5833333333333334,0.6428571428571429, ,0.40625,0.7647058823529411,0.8571428571428571, ,0.53125,0.6538461538461539,0.6785714285714286, ,0.375,0.8,0.8928571428571429, ,0.40625,0.65,0.75
1.5, ,5,0.5757575757575758,0.6551724137931034,0.6296296296296297, ,0.18181818181818182,0.75,0.9259259259259259, ,0.42424242424242425,0.6666666666666666,0.7407407407407407, ,0.18181818181818182,0.6666666666666666,0.8888888888888888, ,0.42424242424242425,0.7368421052631579,0.8148148148148148
Average:            , , ,0.4706515151515152,0.5969974671426577,0.6773544973544974, ,0.3229469696969697,0.6354411764705883,0.8166137566137566, ,0.4644318181818182,0.5866832092638544,0.7019576719576719, ,0.3633636363636364,0.6331060606060606,0.7763492063492062, ,0.4114318181818182,0.6002775119617225,0.7434391534391536
Standard Deviation: , , ,0.05384115159561814,0.06318240365287255,0.07191284006466135, ,0.12961555873827021,0.10464596765624942,0.0855937489394336, ,0.1803399662956777,0.0809895065959804,0.0796421266714541, ,0.09866381873635359,0.10167885940525734,0.12051205104454897, ,0.1341773227806274,0.09378955325812904,0.05926691182636871
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.6, ,1,0.4482758620689655,0.5652173913043478,0.6774193548387096, ,0.13793103448275862,0.8,0.967741935483871, ,0.27586206896551724,0.5714285714285714,0.8064516129032258, ,0.2413793103448276,0.3888888888888889,0.6451612903225806, ,0.3448275862068966,0.5555555555555556,0.7419354838709677
1.6, ,2,0.35294117647058826,0.5714285714285714,0.6538461538461539, ,0.08823529411764706,0.75,0.9615384615384616, ,0.29411764705882354,0.625,0.7692307692307693, ,0.08823529411764706,0.75,0.9615384615384616, ,0.23529411764705882,0.5333333333333333,0.7307692307692307
1.6, ,3,0.20833333333333334,0.3125,0.6944444444444444, ,0.20833333333333334,0.5555555555555556,0.8888888888888888, ,0.4583333333333333,0.44,0.6111111111111112, ,0.2916666666666667,0.3684210526315789,0.6666666666666666, ,0.4583333333333333,0.4583333333333333,0.6388888888888888
1.6, ,4,0.2647058823529412,0.6428571428571429,0.8076923076923077, ,0.23529411764705882,0.8,0.9230769230769231, ,0.38235294117647056,0.8666666666666667,0.9230769230769231, ,0.29411764705882354,0.7692307692307693,0.8846153846153846, ,0.3235294117647059,0.8461538461538461,0.9230769230769231
1.6, ,5,0.5172413793103449,0.5357142857142857,0.5806451612903226, ,0.06896551724137931,0.2857142857142857,0.8387096774193549, ,0.4482758620689655,0.6190476190476191,0.7419354838709677, ,0.06896551724137931,0.2857142857142857,0.8387096774193549, ,0.3448275862068966,0.625,0.8064516129032258
